negative	보는 내내 불편한 감정이 한가득. 장르가 공포었어?
negative	감동 없고 그냥 노잼영화
positive	외모지상주의라 성형 공화국이된 울나라 성형에 대해서 풍자한 애니 잘 봤슴니다
negative	평식아 니가 액션한번해봐라니따위폼이어떤가보게
positive	스토리는 그저그런데 남주혁 한지민으로 눈호강특히 남주혁 비주얼이 다했다!!!!
positive	근래 본 전쟁 영화중 최고라 감히 말 합니다.마지막 장면에선 눈물이 ㅜㅜ보는 내내 화가 치밀고 안타까웠지만,그래도 시간이 지난 후 이들의 노력이 인정 받은거 같아 그나마 위로가 되네요.강추합니다 꼭 보세요.
positive	가족 중에 최고를 뽑자면, 어기의 누나를 뽑겠다. 어린나이인데도 불구하고 그런 따뜻한 마음을 가질 수 있을까? 부럽다. 아빠 엄마를 포함해서 저런 가족이 있다는게 부럽다.
positive	남자주인공 얼굴, 성격이 가슴 후벼놓는다... 실존인물은 아니지만 잘 지내길 ㅜㅜ
positive	평소 묵주기도를 즐겨하는데 영화를 보니 크게 와닿고 감명 깊네요. 개봉한날 보았는데 영화관 관람객이 2명이었습니다.. 사람들이 외면하는 영화인 것같았지만 저는 영화가 감성적이고 여운이 남아서 좋았습니다.
positive	이해력 딸려서 완전히 이해 못 했는데 훗날  나는 10점을 줬다 일어난 일이 일어난 것이다
positive	<벌이 날다>라는 영화를 보고 민병훈감독을 알게되었고 <터치>영화까지 보게되었다 그들이 그리고 우리가 바라는 기적들은 끝내 나타나지 않을지라도 치열한 삶 가운데 사랑을 가슴에 담아가게되는 것이 인생이 아닐까하는 삶의 의미를 다시 생각하게해주었다 모처럼 괜찮은 감독의 좋은 영화를 만난 것같다
positive	참 담배 맛깔나게 핀다 브래드피트
negative	쓰레기지 뭐 이런건 만들지 마라 제발 더럽다
negative	솔직히 요즘시대에 여당 야당 영화 정말 흥미 없네요
negative	구성은 꽤 불친절했지만 영석의 뒷 모습에 마음이 저리다. 남주혁.  10년 후가 더 더 더 기대되는 배우.
negative	잔잔하게 보긴 좋은데 좀 지루하네요...ㅋㅋ
negative	개쌉쓰레기같은영화.
positive	간만에  이런 수작이나오다니~~~
positive	감동 그자체!!!다시봐도 질리지 않는 영화네번째봐도 눈물 주루룩또 보고싶네요..연기자 연기력이 후덜덜손예진 조승우 이기우 조욘들 연기도 훌륭해요ost도 한몫하고요요즘은 그런 감동과 가슴아련한 영화가 없어요
positive	오~ 그땐 알수없었지만 지금은 알수있는역사에 숨겨진 비밀 한페이지를 읽은 느낌!!!실화인 영화는 무조건 믿고 보는편^^
positive	근래에 봤던 영화중에서 당연 최고인듯왜 이제야봤지..
positive	학교에서 봤는데 내가 호러파라서 처음엔 못마땅했는데 진짜 개재밌더라
positive	경애하는 푸동지 만세!!
positive	진짜 몇년동언 보고 봐도 눈물나고 감동적이고 사랑스러운 영화
positive	ㄹㅇ 미쳤습니다. 꼭 보세요
negative	연출이 쓰레기 연기도 쓰레기
negative	무지개가 그런 의미로 사용되는게 거북하다
negative	암말안하겠습니다...
positive	사비나 슈필라인을 알게된계기와 키이나 나이틀리의 연기와 시대적 배경의 영상미!!
negative	ㅉㄲ 영화 ㄲㅈㄹ ㅇㅇㅇ
positive	예진이 누나...미소가 너무 아름답습니다ㅜㅜ
positive	아 옛날영화인데..심장이 쪼그라들고  공포영화보다 더 무서워요ㅠㅋ 수명 몇년은 단축된듯
positive	영화관에서 못 본 걸 제일 후회하는 영화
positive	그냥 뻔하고 투박하고 상투적이고 예측가능하다. 그래서 너무너무 좋은 영화
positive	처음부터 끝까지 명장면입니다10번을 넘게봐도 가슴 한쪽이 찡하네요손예진.조승우 연기도 완벽했어요
positive	한국판으로 잘 나타낸 것 같아요 남주혁 안어울릴 줄 알았는데 주연 배우들도 너무 좋았습니다. 너무 잔잔하다고 하시는 분들 원래 이 영화는 다이나믹한 영화가 아니지않나요ㅠㅠ 잔잔한 맛으로 먹먹하게 잘 봤습니다
positive	여운 크게 남아요 ㅠㅠ 지루하시디는분도 있는데 저는 감동있게 봤어욭
positive	추억을 겨울감성에 잘 묻어냈습니다. 여러 번 볼 것 같습니다. 꼭 보세요^^
positive	김영애 배우님 연기가 참 좋았습니다.여자 아이와 주고받는 대화속에 눈빛이 가장 기억에 남아요.
negative	내가 이걸 왜 봤을까 나도 나를 모르겠다
